p,l,time,iterations
1,1,0.0026665711402893066,3.4
2,1,0.009633815288543702,3.31
4,1,2.0855667090415952,3.17
6,1,47.04267549276352,4.21
1,1,0.0023609733581542967,3.29
1,2,0.0025207304954528807,3.66
1,4,0.0026346421241760253,3.64
1,8,0.038068833351135256,37.02
1,16,6.2651704621315005,8390.08
